Year,FIPS_Code,State,County,Labor_Force_Participation_Rate,Unemployment_Rate,Median_Household_Income,Poverty_Percent_All_Ages,Poverty_Percent_Age_0_17,Pct_Never_Married,Pct_Divorced,Pct_Less_Than_HS,Pct_HS_Grad,Pct_Bachelors_Plus,Rural_Urban_Continuum_Code,LA_Opioid_Rate,LA_Tot_Opioid_Clms
2013,54001,West Virginia,Barbour,51.8,8.0,37327,17.6,28.7,55.1,7.4,14.6,46.1,11.7,6.0,5.85,253.0
2014,54001,West Virginia,Barbour,49.7,8.9,36351,19.8,29.1,53.5,7.7,12.8,48.2,12.2,6.0,10.56,649.0
2015,54001,West Virginia,Barbour,51.2,9.0,37066,21.5,30.3,52.0,7.4,12.7,47.1,11.9,6.0,10.95,565.0
2016,54001,West Virginia,Barbour,51.5,7.9,36733,22.4,32.5,51.1,7.1,13.2,43.9,12.8,6.0,7.85,352.0
2017,54001,West Virginia,Barbour,51.1,8.9,37516,22.5,32.5,49.6,7.6,12.1,44.5,15.3,6.0,7.47,320.0
2018,54001,West Virginia,Barbour,51.4,8.0,39580,23.0,34.7,50.3,7.9,10.8,46.1,16.6,6.0,5.57,194.0
2019,54001,West Virginia,Barbour,52.6,7.6,38459,20.8,30.8,48.3,8.0,10.9,47.3,15.6,6.0,4.89,117.0
2020,54001,West Virginia,Barbour,53.0,8.4,38906,21.0,32.7,47.1,10.0,8.7,50.6,13.9,6.0,5.5,138.0
2021,54001,West Virginia,Barbour,50.3,10.0,42260,20.8,30.5,47.1,10.2,8.6,53.1,13.0,6.0,6.42,198.0
2022,54001,West Virginia,Barbour,49.9,10.1,44341,22.0,32.5,48.1,10.8,8.5,54.0,11.8,6.0,6.87,192.0
2023,54001,West Virginia,Barbour,50.0,10.3,48347,20.8,29.1,45.8,10.3,8.0,53.4,12.2,9.0,5.41,155.0
2013,54003,West Virginia,Berkeley,66.1,11.9,53515,13.1,18.6,53.4,5.6,9.9,39.6,19.1,2.0,14.07,3348.0
2014,54003,West Virginia,Berkeley,65.9,11.2,55100,14.6,22.4,52.5,5.5,10.5,39.1,20.0,2.0,15.45,3794.0
2015,54003,West Virginia,Berkeley,65.3,9.7,55239,14.2,22.0,51.8,5.6,9.6,38.2,19.7,2.0,15.54,3653.0
2016,54003,West Virginia,Berkeley,65.1,9.0,57148,13.2,19.7,52.0,5.3,9.7,37.7,20.3,2.0,14.95,3244.0
2017,54003,West Virginia,Berkeley,65.5,8.3,59480,13.0,18.8,52.5,5.5,8.8,38.0,20.7,2.0,12.98,2252.0
2018,54003,West Virginia,Berkeley,65.0,6.9,60615,12.7,18.9,52.4,5.5,8.2,37.5,21.0,2.0,12.66,2162.0
2019,54003,West Virginia,Berkeley,65.4,6.0,62515,12.2,18.2,51.9,5.2,7.9,37.6,21.2,2.0,11.97,2163.0
2020,54003,West Virginia,Berkeley,66.9,6.0,65286,10.9,15.0,51.3,5.4,6.9,37.4,22.8,2.0,8.85,1126.0
2021,54003,West Virginia,Berkeley,66.0,4.8,68101,10.7,13.5,49.8,5.4,6.6,37.3,23.4,2.0,11.56,1399.0
2022,54003,West Virginia,Berkeley,66.4,4.6,73619,10.9,13.4,50.0,5.0,6.5,36.3,24.3,2.0,10.76,1300.0
2023,54003,West Virginia,Berkeley,66.7,4.8,77329,11.4,14.2,48.9,5.3,6.5,36.9,24.3,2.0,8.92,997.0
2013,54005,West Virginia,Boone,46.7,10.3,42156,20.7,28.5,56.5,8.3,13.9,50.4,6.9,3.0,4.97,414.0
2014,54005,West Virginia,Boone,45.9,9.3,42740,21.1,29.8,55.7,8.4,14.8,50.0,7.3,3.0,4.85,343.0
2015,54005,West Virginia,Boone,43.5,9.2,39958,23.3,35.2,55.2,8.5,13.1,49.4,8.8,3.0,4.46,319.0
2016,54005,West Virginia,Boone,41.5,9.6,37820,26.0,40.0,52.8,8.7,13.3,50.5,8.7,3.0,3.24,245.0
2017,54005,West Virginia,Boone,41.8,10.6,37955,24.4,38.5,53.8,8.9,14.4,50.1,7.9,3.0,3.26,243.0
2018,54005,West Virginia,Boone,40.0,9.4,38642,24.3,35.6,53.1,9.1,13.5,50.6,8.4,3.0,3.42,287.0
2019,54005,West Virginia,Boone,40.3,10.6,40739,23.1,32.2,53.4,8.7,13.3,49.7,9.7,3.0,2.91,240.0
2020,54005,West Virginia,Boone,42.7,12.4,45297,18.8,23.5,54.7,8.1,11.1,46.6,11.6,3.0,2.34,191.0
2021,54005,West Virginia,Boone,42.5,13.9,50598,17.8,19.5,50.8,8.3,11.3,47.2,11.3,3.0,2.06,155.0
2022,54005,West Virginia,Boone,44.2,9.8,56182,16.5,16.1,49.1,8.6,10.3,47.5,11.7,3.0,2.18,160.0
2023,54005,West Virginia,Boone,44.4,8.8,56152,17.3,20.8,49.3,8.9,10.1,46.8,11.9,3.0,1.62,114.0
2013,54007,West Virginia,Braxton,50.1,13.5,31848,22.0,29.9,54.3,7.8,18.7,46.7,8.4,8.0,6.94,302.0
2014,54007,West Virginia,Braxton,49.8,13.7,31984,21.3,30.6,52.4,8.5,17.6,48.7,8.8,8.0,6.05,252.0
2015,54007,West Virginia,Braxton,51.7,14.4,32750,21.0,27.7,52.4,8.4,13.7,49.1,12.0,8.0,4.0,151.0
2016,54007,West Virginia,Braxton,52.3,14.6,38092,20.2,29.5,52.5,9.4,12.5,51.1,12.2,8.0,4.03,120.0
2017,54007,West Virginia,Braxton,52.9,15.3,41266,22.1,33.6,55.5,8.3,12.8,46.6,15.7,8.0,4.64,137.0
2018,54007,West Virginia,Braxton,53.0,13.9,42213,21.8,35.8,56.0,7.1,12.2,47.5,15.1,8.0,5.06,124.0
2019,54007,West Virginia,Braxton,52.0,14.4,41466,22.0,36.9,54.6,7.7,12.5,46.3,14.9,8.0,3.85,75.0
2020,54007,West Virginia,Braxton,50.2,12.3,43819,18.6,27.7,52.9,7.8,11.4,47.3,14.0,8.0,2.37,39.0
2021,54007,West Virginia,Braxton,45.6,15.8,42519,18.3,25.8,49.3,7.6,11.1,47.3,13.8,8.0,2.57,37.0
2022,54007,West Virginia,Braxton,42.6,14.4,42245,18.2,22.2,47.2,8.3,11.2,52.0,11.7,8.0,3.33,50.0
2023,54007,West Virginia,Braxton,42.1,12.8,44449,18.8,21.7,48.2,8.6,10.6,51.1,11.9,8.0,4.3,70.0
2013,54009,West Virginia,Brooke,56.0,10.1,42493,13.1,22.8,49.5,9.1,5.3,49.4,15.0,3.0,10.44,352.0
2014,54009,West Virginia,Brooke,54.5,8.1,44067,13.6,24.6,49.4,9.0,6.3,47.9,15.7,3.0,7.57,247.0
2015,54009,West Virginia,Brooke,55.6,6.4,46215,13.1,20.7,50.3,8.8,6.1,43.7,18.5,3.0,8.27,240.0
2016,54009,West Virginia,Brooke,55.2,4.1,46265,12.7,19.9,49.6,8.6,6.1,40.0,19.8,3.0,8.42,244.0
2017,54009,West Virginia,Brooke,55.6,3.5,48835,13.0,21.6,50.6,8.3,5.9,39.9,19.9,3.0,5.19,114.0
2018,54009,West Virginia,Brooke,55.2,3.1,49772,13.6,20.5,50.3,8.4,6.1,41.7,19.4,3.0,2.89,58.0
2019,54009,West Virginia,Brooke,55.5,3.8,51496,13.2,17.9,49.7,8.5,6.4,40.9,19.0,3.0,1.75,29.0
2020,54009,West Virginia,Brooke,54.7,3.8,48168,12.3,17.2,46.8,10.5,5.4,41.0,20.2,3.0,2.01,30.0
2021,54009,West Virginia,Brooke,54.7,4.9,51210,11.8,17.5,45.9,10.4,5.4,41.7,20.5,3.0,2.01,29.0
2022,54009,West Virginia,Brooke,54.0,5.7,51963,11.0,12.5,44.1,10.3,5.6,42.3,21.9,3.0,1.37,21.0
2023,54009,West Virginia,Brooke,54.6,6.0,52116,12.1,17.1,44.1,11.0,5.5,41.5,21.9,3.0,1.72,22.0
2013,54011,West Virginia,Cabell,55.6,7.8,38374,22.2,30.4,44.8,7.7,9.5,33.5,27.7,2.0,9.5,7925.0
2014,54011,West Virginia,Cabell,54.6,7.1,37716,22.6,30.1,43.3,7.7,9.6,33.0,28.5,2.0,10.89,9473.0
2015,54011,West Virginia,Cabell,54.1,6.8,38344,21.7,27.4,43.0,7.8,9.2,31.9,26.9,2.0,11.3,10090.0
2016,54011,West Virginia,Cabell,54.2,6.6,37760,21.8,26.6,42.5,7.4,9.2,31.9,26.1,2.0,10.79,8602.0
2017,54011,West Virginia,Cabell,53.0,5.5,37816,23.2,29.8,42.7,7.1,8.7,32.7,25.7,2.0,9.14,6342.0
2018,54011,West Virginia,Cabell,52.6,5.4,38321,22.5,26.6,42.1,7.2,8.3,33.1,25.7,2.0,8.55,5255.0
2019,54011,West Virginia,Cabell,52.2,5.4,40028,22.3,26.0,41.7,7.2,8.2,33.3,26.0,2.0,7.79,4586.0
2020,54011,West Virginia,Cabell,53.2,5.7,41472,22.3,25.4,42.9,6.7,7.6,32.7,27.1,2.0,7.58,4310.0
2021,54011,West Virginia,Cabell,54.3,5.5,43779,21.2,25.6,42.2,6.6,7.2,32.5,28.3,2.0,7.46,4021.0
2022,54011,West Virginia,Cabell,55.5,6.1,48944,20.1,23.7,42.1,7.0,7.0,31.2,30.3,2.0,6.89,3720.0
2023,54011,West Virginia,Cabell,56.9,5.8,52828,19.8,23.6,42.7,6.9,6.9,30.3,32.4,2.0,6.21,3231.0
2013,54013,West Virginia,Calhoun,50.4,16.2,31679,22.0,34.3,54.3,10.4,12.5,57.1,6.3,8.0,6.17,100.0
2014,54013,West Virginia,Calhoun,49.5,18.9,31017,22.9,34.2,52.2,9.1,15.0,53.4,6.7,8.0,6.22,106.0
2015,54013,West Virginia,Calhoun,48.7,18.1,35568,17.7,20.7,55.7,8.7,15.1,48.9,10.4,8.0,7.7,152.0
2016,54013,West Virginia,Calhoun,48.8,16.2,39384,15.9,21.5,56.3,7.6,14.4,45.8,11.9,8.0,8.27,132.0
2017,54013,West Virginia,Calhoun,43.1,14.5,36279,17.1,22.5,54.4,7.8,13.9,43.5,10.6,8.0,10.13,110.0
2018,54013,West Virginia,Calhoun,42.7,15.3,37610,18.9,23.0,55.7,7.9,11.4,48.5,11.0,8.0,8.54,101.0
2019,54013,West Virginia,Calhoun,41.2,14.0,38382,21.7,27.1,57.4,6.6,11.9,46.7,12.2,8.0,7.15,77.0
2020,54013,West Virginia,Calhoun,46.7,10.6,38668,24.5,44.6,52.8,5.6,10.6,45.7,12.2,8.0,6.33,63.0
2021,54013,West Virginia,Calhoun,42.5,11.2,37428,28.4,47.9,51.7,6.4,9.9,53.3,10.2,8.0,6.33,63.0
2022,54013,West Virginia,Calhoun,42.4,12.2,39031,33.7,53.9,51.5,7.7,8.2,55.0,8.3,8.0,6.33,63.0
2023,54013,West Virginia,Calhoun,40.2,10.9,41421,33.4,49.7,50.3,8.2,9.6,55.2,10.1,8.0,6.33,63.0
2013,54015,West Virginia,Clay,47.3,8.8,31613,24.8,29.9,56.2,7.3,12.6,47.0,5.6,3.0,0.96,16.0
2014,54015,West Virginia,Clay,46.2,9.9,32933,25.5,28.4,57.4,6.9,16.0,46.5,7.5,3.0,1.2,22.0
2015,54015,West Virginia,Clay,45.1,12.3,31325,28.2,30.0,55.8,5.4,13.2,49.1,9.8,3.0,4.64,103.0
2016,54015,West Virginia,Clay,42.0,10.9,33639,23.1,19.5,54.0,6.0,14.1,46.9,10.1,3.0,4.23,80.0
2017,54015,West Virginia,Clay,39.5,10.8,34242,25.2,24.5,51.2,7.6,11.8,52.0,9.0,3.0,1.56,19.0
2018,54015,West Virginia,Clay,40.3,8.1,35875,27.1,29.3,50.6,7.6,11.5,53.5,9.5,3.0,5.29,90.0
2019,54015,West Virginia,Clay,39.9,7.9,35024,27.5,35.2,50.2,6.8,11.4,51.8,9.2,3.0,4.22,45.0
2020,54015,West Virginia,Clay,41.6,12.8,35154,28.2,40.1,51.2,7.9,11.8,52.7,10.3,3.0,1.25,11.0
2021,54015,West Virginia,Clay,39.5,14.6,37197,26.3,40.1,47.7,8.4,10.6,52.0,12.0,3.0,1.3199999999999998,11.5
2022,54015,West Virginia,Clay,44.6,11.2,41530,24.6,38.9,51.9,7.4,9.6,52.1,12.6,3.0,1.39,12.0
2023,54015,West Virginia,Clay,41.0,11.8,42790,24.9,40.3,51.5,9.7,10.1,52.7,11.8,3.0,1.39,12.0
2013,54017,West Virginia,Doddridge,47.3,8.4,34817,15.5,23.6,46.1,8.2,15.6,48.7,8.1,9.0,11.66,153.0
2014,54017,West Virginia,Doddridge,46.5,10.2,40329,15.3,18.3,47.4,7.3,13.4,52.6,9.4,9.0,12.16,115.0
2015,54017,West Virginia,Doddridge,43.9,6.5,39974,15.7,17.7,45.8,8.0,10.9,44.3,13.5,9.0,11.89,83.0
2016,54017,West Virginia,Doddridge,41.8,6.5,39381,15.4,17.8,47.9,7.6,14.4,41.9,14.8,9.0,13.14,247.0
2017,54017,West Virginia,Doddridge,41.9,6.5,44437,14.9,13.6,48.5,7.1,12.7,43.1,14.9,9.0,13.27,607.0
2018,54017,West Virginia,Doddridge,42.6,5.0,46449,15.0,14.3,48.3,7.5,12.0,45.1,15.7,9.0,5.66,36.0
2019,54017,West Virginia,Doddridge,43.5,3.9,45545,15.7,18.1,52.0,7.9,12.6,43.7,17.1,9.0,5.26,30.0
2020,54017,West Virginia,Doddridge,44.3,4.2,51300,13.1,12.7,54.0,7.7,13.3,44.3,16.6,9.0,3.94,27.0
2021,54017,West Virginia,Doddridge,47.4,4.9,58750,15.2,15.6,48.1,9.5,11.8,45.9,13.1,9.0,3.26,21.0
2022,54017,West Virginia,Doddridge,45.4,4.3,56587,14.4,16.3,44.1,7.8,12.9,44.2,12.0,9.0,2.29,13.0
2023,54017,West Virginia,Doddridge,44.3,4.7,61164,14.5,16.1,45.3,8.3,12.3,42.1,12.7,9.0,2.29,13.0
2013,54019,West Virginia,Fayette,46.6,10.3,33771,21.2,30.4,47.8,9.4,11.9,45.0,10.6,3.0,10.77,3044.0
2014,54019,West Virginia,Fayette,46.6,10.4,34914,21.1,30.0,48.6,8.6,12.7,46.0,11.2,3.0,6.87,1358.0
2015,54019,West Virginia,Fayette,46.9,9.2,36293,19.9,27.5,50.9,8.5,12.8,44.4,12.4,3.0,6.49,1093.0
2016,54019,West Virginia,Fayette,48.4,8.5,37846,19.1,28.2,51.8,8.1,12.1,44.4,13.2,3.0,5.16,716.0
2017,54019,West Virginia,Fayette,48.4,8.4,39297,20.0,28.4,51.4,8.1,12.5,43.7,14.7,3.0,6.33,673.0
2018,54019,West Virginia,Fayette,47.4,7.4,40379,20.0,29.9,51.8,8.9,12.1,43.0,15.2,3.0,6.64,527.0
2019,54019,West Virginia,Fayette,46.8,7.6,41394,20.5,29.6,51.5,9.3,12.1,43.9,14.8,3.0,5.26,384.0
2020,54019,West Virginia,Fayette,48.5,7.3,43722,21.4,33.4,51.8,9.2,10.7,43.7,15.2,3.0,4.09,292.0
2021,54019,West Virginia,Fayette,46.5,7.3,45988,21.0,28.7,49.8,9.0,11.0,43.7,16.4,3.0,3.61,287.0
2022,54019,West Virginia,Fayette,46.2,7.5,50090,21.5,30.2,49.1,9.3,10.3,44.6,15.8,3.0,2.74,218.0
2023,54019,West Virginia,Fayette,47.6,7.1,52672,18.8,25.7,49.4,9.5,10.2,45.0,16.1,3.0,3.49,286.0
2013,54021,West Virginia,Gilmer,41.8,8.9,38442,28.5,46.5,40.5,7.5,15.2,38.2,11.4,7.0,4.11,18.0
2014,54021,West Virginia,Gilmer,42.6,8.8,35625,30.0,42.9,40.5,6.9,15.3,36.5,10.9,7.0,4.29,18.0
2015,54021,West Virginia,Gilmer,41.0,9.4,37536,27.0,36.9,43.2,6.9,14.0,36.6,16.6,7.0,6.6,32.0
2016,54021,West Virginia,Gilmer,40.6,10.6,37286,26.1,36.5,43.2,5.4,12.4,38.4,16.0,7.0,5.675,28.0
2017,54021,West Virginia,Gilmer,40.1,12.3,37175,25.0,30.4,42.1,5.7,12.9,40.1,16.0,7.0,4.75,24.0
2018,54021,West Virginia,Gilmer,41.2,9.6,35810,18.9,18.5,41.8,5.9,9.8,44.2,14.4,7.0,5.41,30.0
2019,54021,West Virginia,Gilmer,43.5,10.8,42636,16.4,14.6,41.3,6.5,9.9,44.7,17.0,7.0,7.2,36.0
2020,54021,West Virginia,Gilmer,45.0,11.1,42883,12.7,8.8,41.1,6.3,10.7,47.0,17.0,7.0,6.32,30.0
2021,54021,West Virginia,Gilmer,43.0,9.2,45870,11.8,5.0,38.0,6.6,11.6,47.0,20.2,7.0,3.04,14.0
2022,54021,West Virginia,Gilmer,39.9,7.1,51552,11.1,5.9,36.8,6.7,12.3,47.3,20.2,7.0,5.33,24.0
2023,54021,West Virginia,Gilmer,36.5,8.1,50991,12.9,11.5,37.8,7.3,14.0,47.3,19.9,9.0,5.98,28.0
2013,54023,West Virginia,Grant,58.8,7.2,41368,14.6,21.2,53.3,7.8,12.3,54.7,9.9,7.0,4.02,225.0
2014,54023,West Virginia,Grant,56.6,7.6,41600,17.5,26.4,52.9,8.4,13.3,53.6,13.0,7.0,4.63,269.0
2015,54023,West Virginia,Grant,55.0,6.7,39088,15.4,19.8,50.5,8.5,9.9,50.2,12.3,7.0,5.57,339.0
2016,54023,West Virginia,Grant,53.3,6.0,38703,13.1,10.3,51.2,8.7,9.7,46.9,14.0,7.0,6.36,368.0
2017,54023,West Virginia,Grant,52.8,5.2,40093,12.7,12.1,52.9,8.6,10.4,45.8,14.5,7.0,6.51,340.0
2018,54023,West Virginia,Grant,53.2,5.1,41071,12.4,13.1,51.6,8.5,10.5,45.3,14.4,7.0,5.71,286.0
2019,54023,West Virginia,Grant,54.9,6.8,42216,10.9,9.4,50.1,8.5,10.2,46.1,13.8,7.0,7.47,376.0
2020,54023,West Virginia,Grant,54.9,6.6,43313,10.8,10.9,50.7,10.1,10.3,46.9,12.6,7.0,4.99,228.0
2021,54023,West Virginia,Grant,55.6,6.6,47224,12.1,13.2,48.3,10.0,9.5,51.8,11.4,7.0,5.53,215.0
2022,54023,West Virginia,Grant,57.7,5.3,52877,11.7,11.0,49.2,9.4,7.0,52.8,13.2,7.0,6.08,228.0
2023,54023,West Virginia,Grant,56.8,4.9,61530,13.4,10.4,53.5,8.6,5.7,50.5,17.9,9.0,6.11,185.0
2013,54025,West Virginia,Greenbrier,53.6,7.5,37895,19.7,25.1,52.9,9.2,12.3,44.1,15.9,6.0,9.25,1590.0
2014,54025,West Virginia,Greenbrier,52.8,7.1,40256,19.4,25.0,53.0,8.3,12.6,45.4,17.4,6.0,5.99,890.0
2015,54025,West Virginia,Greenbrier,51.9,7.2,39746,18.7,24.3,52.2,8.0,10.0,44.0,18.1,6.0,5.06,760.0
2016,54025,West Virginia,Greenbrier,51.5,7.9,40026,18.4,24.6,51.2,8.2,10.4,40.9,19.6,6.0,5.12,744.0
2017,54025,West Virginia,Greenbrier,51.2,6.8,40483,17.8,24.2,50.7,8.7,8.7,39.6,20.3,6.0,5.19,891.0
2018,54025,West Virginia,Greenbrier,50.3,6.7,39038,17.9,24.3,49.7,8.8,8.4,38.6,19.9,6.0,3.99,650.0
2019,54025,West Virginia,Greenbrier,50.7,5.7,40200,16.0,21.3,47.8,9.7,7.9,37.8,19.9,6.0,3.52,424.0
2020,54025,West Virginia,Greenbrier,52.5,5.9,39807,17.5,25.4,48.5,9.8,8.3,37.6,20.1,6.0,3.66,356.0
2021,54025,West Virginia,Greenbrier,52.0,5.6,41694,18.9,26.2,48.9,9.9,7.7,40.2,19.0,6.0,2.43,212.0
2022,54025,West Virginia,Greenbrier,51.2,4.3,45519,20.0,27.8,47.9,10.1,8.2,40.9,20.9,6.0,2.09,176.0
2023,54025,West Virginia,Greenbrier,50.7,4.2,48662,20.7,28.4,48.9,10.2,8.8,41.0,22.1,6.0,1.45,123.0
2013,54027,West Virginia,Hampshire,53.3,10.0,27766,18.0,21.2,39.6,8.2,17.1,53.7,7.9,3.0,13.74,672.0
2014,54027,West Virginia,Hampshire,51.8,10.1,26828,20.8,25.4,38.9,8.6,19.7,49.4,7.4,3.0,14.52,774.0
2015,54027,West Virginia,Hampshire,50.1,8.1,27995,20.7,31.4,38.7,8.5,15.0,50.0,10.1,3.0,14.08,606.0
2016,54027,West Virginia,Hampshire,50.5,7.6,32177,16.9,24.1,42.3,8.1,13.9,49.6,11.4,3.0,12.89,481.0
2017,54027,West Virginia,Hampshire,50.8,5.7,36575,16.9,28.6,45.5,8.4,13.8,45.7,12.6,3.0,13.12,418.0
2018,54027,West Virginia,Hampshire,48.7,5.3,40099,20.2,33.8,48.1,7.5,13.5,44.9,12.2,3.0,11.53,354.0
2019,54027,West Virginia,Hampshire,50.7,5.3,47857,17.8,29.1,51.4,7.4,10.7,46.2,12.4,3.0,10.76,309.0
2020,54027,West Virginia,Hampshire,53.3,7.0,48528,14.3,23.4,51.1,8.4,9.2,47.8,12.3,3.0,8.45,223.0
2021,54027,West Virginia,Hampshire,49.7,6.9,50890,17.9,35.4,48.1,8.8,8.2,47.0,12.6,3.0,8.9,191.0
2022,54027,West Virginia,Hampshire,49.1,8.5,55222,17.5,28.6,46.5,9.5,8.2,47.0,14.6,3.0,5.19,130.0
2023,54027,West Virginia,Hampshire,51.0,7.2,60299,14.2,21.2,49.7,10.1,7.5,48.3,16.3,3.0,4.59,122.0
2013,54029,West Virginia,Hancock,57.7,10.0,38522,16.9,27.2,51.2,9.1,8.9,46.5,15.5,3.0,21.32,5499.0
2014,54029,West Virginia,Hancock,57.7,7.7,39342,16.4,28.4,53.4,8.3,9.3,44.8,17.4,3.0,22.19,5805.0
2015,54029,West Virginia,Hancock,57.4,7.2,39959,16.2,29.2,51.8,8.3,9.2,42.8,17.8,3.0,22.42,6074.0
2016,54029,West Virginia,Hancock,58.3,6.6,40316,14.5,24.5,50.3,8.2,9.1,42.6,18.2,3.0,21.09,4758.0
2017,54029,West Virginia,Hancock,58.7,7.5,43634,13.5,23.1,50.9,8.9,8.5,42.7,17.9,3.0,22.58,5573.0
2018,54029,West Virginia,Hancock,58.7,7.1,45580,13.1,21.2,49.3,8.9,8.1,41.2,18.5,3.0,21.08,4611.0
2019,54029,West Virginia,Hancock,58.2,7.5,45763,13.9,21.2,47.2,10.0,7.5,41.9,17.4,3.0,22.46,4766.0
2020,54029,West Virginia,Hancock,57.5,8.2,48140,14.0,21.0,48.3,9.4,7.7,39.8,16.3,3.0,23.9,4579.0
2021,54029,West Virginia,Hancock,57.6,9.5,52062,14.1,18.0,49.7,9.1,7.1,40.0,17.8,3.0,33.54,6706.0
2022,54029,West Virginia,Hancock,56.7,8.5,57515,13.4,16.5,48.4,9.1,6.3,39.6,19.1,3.0,34.59,6486.0
2023,54029,West Virginia,Hancock,57.3,8.2,61017,15.0,19.9,49.7,8.7,6.7,40.1,20.2,3.0,27.18,3606.0
2013,54031,West Virginia,Hardy,56.5,10.6,32723,15.7,21.4,46.1,7.7,16.7,51.8,7.5,6.0,4.82,83.0
2014,54031,West Virginia,Hardy,59.5,9.1,36465,15.0,23.0,48.6,7.1,15.0,52.3,10.9,6.0,2.19,34.0
2015,54031,West Virginia,Hardy,58.3,7.9,40303,13.5,18.9,50.1,6.6,12.3,47.7,14.0,6.0,2.89,38.0
2016,54031,West Virginia,Hardy,57.3,6.9,39840,13.7,22.4,54.4,6.9,12.1,47.1,14.7,6.0,3.62,43.0
2017,54031,West Virginia,Hardy,60.1,5.1,42573,14.8,27.9,58.6,5.8,11.8,47.1,14.4,6.0,4.04,45.0
2018,54031,West Virginia,Hardy,58.8,3.0,47186,11.5,22.1,62.0,5.8,12.6,46.4,14.5,6.0,3.14,29.0
2019,54031,West Virginia,Hardy,58.5,3.2,47438,13.8,28.8,62.2,6.2,12.1,44.7,14.5,6.0,1.57,14.5
2020,54031,West Virginia,Hardy,58.7,3.6,46513,16.1,34.5,59.4,6.6,11.9,47.2,13.9,6.0,0.0,0.0
2021,54031,West Virginia,Hardy,55.7,2.5,46592,18.3,33.7,56.6,6.0,9.8,47.1,13.2,6.0,0.0,0.0
2022,54031,West Virginia,Hardy,57.4,4.6,49205,17.3,30.6,51.1,6.9,8.8,47.5,14.9,6.0,0.0,0.0
2023,54031,West Virginia,Hardy,58.6,5.7,49302,17.6,28.5,48.1,8.1,9.3,48.1,15.7,8.0,3.54,55.0
2013,54033,West Virginia,Harrison,57.3,7.2,43183,17.7,27.6,53.3,8.9,9.6,42.1,20.9,5.0,10.09,3675.0
2014,54033,West Virginia,Harrison,57.0,7.2,43130,16.0,23.9,52.8,8.5,9.5,42.3,20.7,5.0,10.23,3871.0
2015,54033,West Virginia,Harrison,57.3,7.4,43987,16.3,23.8,52.4,8.1,9.0,39.5,20.4,5.0,10.8,4077.0
2016,54033,West Virginia,Harrison,58.0,7.3,44845,15.9,21.5,50.9,7.7,8.8,37.9,21.6,5.0,11.16,3861.0
2017,54033,West Virginia,Harrison,58.6,6.5,48315,15.0,18.2,51.4,7.6,8.4,37.7,22.6,5.0,13.18,4009.0
2018,54033,West Virginia,Harrison,58.3,6.7,50433,15.4,19.7,51.3,7.6,8.3,38.3,22.5,5.0,12.42,3801.0
2019,54033,West Virginia,Harrison,58.7,5.9,53022,15.3,19.8,51.4,7.5,8.1,38.6,23.3,5.0,13.34,4104.0
2020,54033,West Virginia,Harrison,59.0,5.8,52134,14.4,18.3,49.7,7.7,8.9,39.9,23.1,5.0,13.3,4033.0
2021,54033,West Virginia,Harrison,58.2,5.4,54124,15.2,20.9,49.4,7.8,9.0,38.9,23.3,5.0,10.47,2921.0
2022,54033,West Virginia,Harrison,57.2,5.3,56184,13.7,19.1,47.4,7.8,9.2,39.0,24.7,5.0,6.99,1784.0
2023,54033,West Virginia,Harrison,57.4,4.3,58326,13.6,17.7,46.9,8.5,9.0,38.0,25.9,5.0,6.39,1634.0
2013,54035,West Virginia,Jackson,52.1,8.3,40376,19.0,32.6,54.0,8.7,11.4,40.7,15.8,6.0,14.3,1205.0
2014,54035,West Virginia,Jackson,50.0,8.7,40733,18.9,31.6,53.6,9.2,12.5,39.5,16.3,6.0,14.2,1332.0
2015,54035,West Virginia,Jackson,50.2,6.8,41314,16.4,25.1,54.5,8.7,9.1,41.1,17.6,6.0,12.51,890.0
2016,54035,West Virginia,Jackson,49.8,5.4,40949,14.9,22.1,56.0,8.8,9.3,40.9,17.7,6.0,11.73,730.0
2017,54035,West Virginia,Jackson,49.8,4.6,41731,14.7,18.4,54.8,7.9,9.6,42.2,16.2,6.0,11.26,605.0
2018,54035,West Virginia,Jackson,50.0,4.3,44783,15.6,20.7,54.9,8.9,8.6,44.0,17.1,6.0,9.62,467.0
2019,54035,West Virginia,Jackson,49.1,4.0,47837,17.7,24.9,56.0,8.2,7.3,44.1,17.4,6.0,8.81,330.0
2020,54035,West Virginia,Jackson,47.5,3.4,49115,17.7,25.4,53.8,8.9,6.4,43.7,18.0,6.0,5.54,180.0
2021,54035,West Virginia,Jackson,46.6,3.6,53165,18.1,26.2,54.1,8.7,5.6,43.2,17.3,6.0,4.64,138.0
2022,54035,West Virginia,Jackson,46.8,3.6,55173,19.6,32.0,53.5,9.3,4.4,40.2,18.6,6.0,2.45,56.0
2023,54035,West Virginia,Jackson,47.9,4.3,55671,17.5,26.4,54.4,7.7,5.5,37.7,19.4,8.0,2.49,84.0
2013,54037,West Virginia,Jefferson,68.3,9.0,65304,11.2,17.1,55.1,5.0,8.4,32.2,28.1,1.0,16.44,1024.0
2014,54037,West Virginia,Jefferson,67.4,9.0,66205,12.4,18.7,54.2,4.9,7.5,33.2,29.2,1.0,14.54,987.0
2015,54037,West Virginia,Jefferson,66.0,8.4,66677,11.6,15.7,53.3,5.6,7.4,32.1,28.4,1.0,12.45,975.0
